id_point,datetime,tree_height,canopy_diam,biomasa_total_m3_kg,Sigma0_RATIO_VH_VV,Gamma0_RATIO_VH_VV
O1-1,2025-02-20 15:23:00,4.16625,4.459994500000001,49.54040198685956,0.8108414635128176,0.801532875682325
O1-13,2025-02-20 15:36:00,4.415,4.846434,60.1267466698565,0.8108909540447177,0.8015858632047372
O1-17,2025-02-20 16:06:00,4.16,4.258532000000001,48.98562162186876,0.8109093891761897,0.8016122461298563
O1-25,2025-02-20 16:15:00,4.86,4.9230155,68.78800600609335,0.8109248923525827,0.8016330386404508
O1-9,2025-02-20 15:30:00,3.255,4.6107595,48.88888618803776,0.8108685730714167,0.8015546183154165
O2-1,2025-02-20 16:27:00,3.44,4.242119000000001,38.42177050637075,0.8108925540242364,0.8015765204455454
O2-13,2025-02-20 16:43:00,3.26,4.521077,38.06474617651126,0.8108522810822666,0.8015301946324294
O2-17,2025-02-20 16:48:00,3.51,4.280934,41.53464534575383,0.8108231164322591,0.80150479211454
O2-25,2025-02-20 16:50:00,3.35,3.51172,24.31394835834258,0.8107988081478882,0.8014817757633356
O2-9,2025-02-20 16:36:00,3.6925,3.533801,33.68003683213294,0.8108751324871807,0.8015525448714053
Y1-1,2025-02-20 11:43:00,1.87,3.686444,11.72661994935651,0.8102984853812488,0.8008794085153396
Y1-13,2025-02-20 12:02:00,2.09,2.533276,7.039709489514616,0.8102438823122413,0.8008693426301682
Y1-17,2025-02-20 12:07:00,1.8725,2.1233085,4.311736866134695,0.8102108136247628,0.8008633828634721
Y1-25,2025-02-20 12:13:00,1.98833333,2.4926935,6.961489085485734,0.8101747518011652,0.8008564217991507
Y1-9,2025-02-20 11:53:00,2.03125,2.366518,6.83420583896043,0.8102731773968452,0.8008740839308879
Y2-1,2025-02-20 14:07:00,2.085,3.095346,10.03850917792713,0.8106703489975761,0.8012782461737036
Y2-13,2025-02-20 14:21:00,1.985,2.5010535,6.387145800431348,0.8106471052599158,0.8012615749281199
Y2-17,2025-02-20 14:26:00,2.025,2.349464,7.759773036597721,0.8106342553573123,0.8012567563672034
