id_point,datetime,VWC,total_biomass,IBA,Sigma0_RATIO_VH_VV,Gamma0_RATIO_VH_VV,PC4,Alpha
G1-1,2025-02-19 11:11:00,315.945035,1263.78014,1853.050058651026,0.8097572724230725,0.8004943180584561,1.2227158724364926,25.555786
G1-13,2025-02-19 11:48:00,166.8966899999999,667.5867599999998,755.1886425339364,0.8097953236871334,0.8005401351781551,1.2949599508848075,30.238604
G1-17,2025-02-19 11:59:00,152.69669,610.78676,690.9352488687782,0.8098137835348392,0.8005608529259344,1.3094758884433106,28.057308
G1-25,2025-02-19 12:17:00,188.19669,752.78676,865.2721379310344,0.8098515647778386,0.800572258764344,1.3615298767072304,22.238356
G1-9,2025-02-19 11:30:00,283.145035,1132.58014,1926.156700680272,0.8097775803640075,0.8005188816234302,1.4620572030162178,24.861599
G2-1,2025-02-19 16:50:00,324.845035,1299.38014,1517.967453271028,0.809832904618034,0.8005573332363872,1.1244227295193785,27.69451
G2-13,2025-02-19 16:05:00,234.145035,936.5801399999998,1672.464535714285,0.8099082007315942,0.8005797117347835,1.6703792571576903,26.62414
G2-17,2025-02-19 17:12:00,187.845035,751.38014,1371.131642335767,0.8099366921755506,0.8005867810744527,1.7238629130503533,31.656462
G2-25,2025-02-19 17:26:00,192.79669,771.1867599999999,998.9465803108807,0.8099680065176552,0.8005954339629578,1.6917642805305189,28.468678
G2-9,2025-02-19 16:27:00,128.69669,514.78676,766.0517261904761,0.8098721631866412,0.8005704548420698,1.469983654552073,22.708961
O1-1,2025-02-20 15:21:00,120.59669,482.3867599999999,1556.086322580645,0.8108414635128176,0.801532875682325,2.0312362195270977,13.114072
O1-13,2025-02-20 15:35:00,136.29669,545.1867599999999,1642.128795180723,0.8108909540447177,0.8015858632047372,1.3019606432479645,38.82076
O1-17,2025-02-20 16:03:00,65.938345,263.75338,1055.01352,0.8109093891761897,0.8016122461298563,2.0768625714798317,21.398151
O1-25,2025-02-20 16:12:00,145.148345,580.59338,1240.584145299145,0.8109248923525827,0.8016330386404508,2.2710738933483317,27.648146
O1-9,2025-02-20 15:29:00,13.438345,53.75338000000001,316.1963529411765,0.8108685730714167,0.8015546183154165,2.0800219721113526,23.743984
O2-1,2025-02-20 16:25:00,164.79669,659.1867599999999,1194.178913043478,0.8108925540242364,0.8015765204455454,2.1563008002467083,30.429369
O2-13,2025-02-20 16:41:00,96.14834499999999,384.59338,1124.542046783625,0.8108522810822666,0.8015301946324294,2.2086240657982117,34.816536
O2-17,2025-02-20 16:47:00,173.59669,694.38676,2197.426455696203,0.8108231164322591,0.80150479211454,1.7127893614190517,22.197803
O2-25,2025-02-20 16:54:00,263.145035,1052.58014,1766.074060402684,0.8107988081478882,0.8014817757633356,1.4935469374833894,26.62308
O2-9,2025-02-20 16:34:00,265.145035,1060.58014,1433.216405405405,0.8108751324871807,0.8015525448714053,1.767420183851235,22.143463
Y1-1,2025-02-20 11:43:00,114.39669,457.5867599999999,1257.106483516483,0.8102984853812488,0.8008794085153396,1.7143888625915993,21.274462
Y1-13,2025-02-20 12:00:00,56.17668999999998,224.7067599999999,573.2315306122447,0.8102438823122413,0.8008693426301682,1.5432451470243598,34.65853
Y1-17,2025-02-20 12:09:00,27.27668999999999,109.10676,266.1140487804877,0.8102108136247628,0.8008633828634721,1.6126043685143023,31.3868
Y1-25,2025-02-20 12:14:00,106.69669,426.78676,1333.708625,0.8101747518011652,0.8008564217991507,1.1682284723747975,23.244448
Y1-9,2025-02-20 11:53:00,106.59669,426.38676,1402.588026315789,0.8102731773968452,0.8008740839308879,1.7327988623703048,15.248671
Y2-1,2025-02-20 14:07:00,149.79669,599.1867599999999,2269.646818181818,0.8106703489975761,0.8012782461737036,1.7390964073752586,26.873184
Y2-13,2025-02-20 14:20:00,111.448345,445.79338,1410.738544303797,0.8106471052599158,0.8012615749281199,1.1714985462766003,15.570222
Y2-17,2025-02-20 14:26:00,209.6483449999999,838.5933799999998,5241.208624999998,0.8106342553573123,0.8012567563672034,2.123881327345902,24.409042
Y2-25,2025-02-20 14:34:00,237.948345,951.7933799999998,4033.022796610168,0.8106180998278122,0.8012484736850555,1.8156809799511637,15.48816
Y2-9,2025-02-20 14:13:00,267.79669,1071.18676,2775.095233160622,0.8106582138751821,0.8012706980113614,1.0091773456146487,36.466187
G1-5,2025-03-15 16:17:00,350.2383449999999,1400.95338,1553.163392461197,0.8081465360619037,0.8007834817937666,-0.3552777723784025,25.795095
G1-7,2025-03-15 16:27:00,365.538345,1462.15338,1348.849981549815,0.8081358600805248,0.8007746398287755,-0.43934398352221854,28.48438
G1-14,2025-03-15 16:36:00,219.738345,878.9533799999999,683.4785225505442,0.8081453339220162,0.8007839355478019,-0.4423929018003344,21.23459
G1-19,2025-03-15 16:45:00,287.938345,1151.75338,1274.063473451328,0.8081376130941094,0.8007795943190185,-0.4745833140695763,20.49846
G1-21,2025-03-15 16:55:00,247.038345,988.15338,893.4479023508138,0.8081231228107962,0.8007680484201398,-0.43688839299559823,24.649044
G2-5,2025-03-15 16:14:00,362.538345,1450.15338,2054.041614730878,0.8082431069537941,0.8008928849330639,-0.03864031030622361,35.818848
G2-7,2025-03-15 16:25:00,403.438345,1613.75338,2698.584247491639,0.8082286406394131,0.8008753555774342,-0.34262636539532115,26.55507
G2-14,2025-03-15 16:32:00,386.703345,1546.81338,2676.147716262976,0.8082385568475534,0.800886102390741,-0.28161168980218987,22.033678
G2-19,2025-03-15 16:42:00,285.303345,1141.21338,3051.372673796791,0.8082219012638533,0.8008671076532453,-0.286191802487579,20.47572
G2-21,2025-03-15 16:50:00,606.203345,2424.81338,4948.598734693877,0.8082068666266242,0.8008546737931865,-0.3853237479634723,25.934196
Y1-5,2025-03-17 10:30:00,234.203345,936.81338,2054.415307017544,0.8084983135486339,0.8011069385368457,-0.23275569514784694,33.88658
Y1-7,2025-03-17 10:18:00,404.903345,1619.61338,3664.283665158371,0.8085103706086443,0.8011096176838531,-0.23192443684968048,32.744587
Y1-14,2025-03-17 10:05:00,346.738345,1386.95338,2926.061983122363,0.8085123842140131,0.801108519023843,-0.1341959114842855,34.083664
Y1-19,2025-03-17 09:47:00,320.003345,1280.01338,2480.646085271318,0.8085406661077825,0.8011138984863813,-0.7229133337833583,26.424528
Y1-21,2025-03-17 09:25:00,288.838345,1155.35338,2265.398784313726,0.8085586270852279,0.801117611145171,-0.050205849103849724,18.844322
Y2-5,2025-03-17 11:39:00,325.903345,1303.61338,3089.131232227488,0.8088601615694868,0.8014720371995541,0.2158748905371612,30.700228
Y2-7,2025-03-17 11:54:00,269.003345,1076.01338,898.9251294903925,0.8088659243878149,0.8014824037804948,0.27274748920873076,22.391968
Y2-14,2025-03-17 12:08:00,384.1033449999999,1536.41338,2279.545074183976,0.8088699920440187,0.8014820661137705,-0.311671816482451,22.950907
Y2-19,2025-03-17 12:23:00,92.23834500000002,368.9533800000001,1104.650838323354,0.8088825982835435,0.8014953949492499,-0.4637365507158612,22.847513
Y2-21,2025-03-17 12:40:00,176.103345,704.4133799999998,1572.351294642857,0.8088911440454409,0.8015017337764786,-0.2761403632825211,37.35189
O1-5,2025-03-17 16:22:00,108.603345,434.41338,1155.354734042553,0.8091754849058732,0.8018573122809841,0.21177490571380966,17.452805
O1-7,2025-03-17 16:10:00,114.038345,456.15338,946.3763070539419,0.809180262464473,0.8018598104057515,-0.05488155483839403,17.226742
O1-14,2025-03-17 15:51:00,212.603345,850.4133799999998,1638.561425818882,0.8091998998697651,0.8018556157514876,0.17459515553223517,28.17538
O1-19,2025-03-17 15:40:00,78.33834499999998,313.3533799999999,555.59109929078,0.8091871559577726,0.8018631537731296,0.15261080961723816,29.422543
O1-21,2025-03-17 15:20:00,126.403345,505.61338,696.4371625344353,0.8091841883159474,0.8018674423147423,0.48915665916961476,21.1535
O2-5,2025-03-17 17:40:00,97.93834500000001,391.75338,579.5168343195268,0.8090856245304401,0.8017791910061223,-0.017403729667335867,34.127113
O2-7,2025-03-17 17:26:00,170.803345,683.21338,2668.802265625,0.8090885354577967,0.8017786864201767,0.11836556429172249,33.48841
